id,rua,numero,bairro,cidade,estado,cep
707,Via de Martins,1242,Vila União,Mendonça da Mata,PI,15704404
708,Setor de Souza,4589,Conjunto Serra Verde,da Paz da Praia,DF,75620-842
709,Colônia Luigi Mendes,3129,Conjunto Bonsucesso,Camargo,RJ,37572269
710,Distrito de da Rosa,1195,Paraíso,Melo,AP,91612-305
711,Parque de Porto,8357,Belmonte,Aragão,SP,45371624
712,Vereda de Cardoso,5751,Ambrosina,da Cruz,AC,43562-150
713,Trecho Freitas,4655,Lindéia,Borges da Praia,SE,09741-388
714,Alameda Bruna Silveira,1377,Palmeiras,Garcia,PI,02798572
715,Lago da Paz,9305,Vila Petropolis,Porto,SE,74734604
716,Esplanada Luiz Miguel da Luz,9377,São José,Souza do Galho,RJ,31561-022
717,Quadra de Nogueira,654,São Marcos,Silva do Oeste,TO,52918-270
718,Vale Francisco Pimenta,9437,Savassi,Porto de Rezende,PE,16579263
719,Trevo da Rocha,5671,Biquinhas,Aragão,MG,58348983
720,Esplanada Maria Vitória Viana,4792,Canadá,Fogaça de Minas,AM,37898468
721,Esplanada Yan Câmara,3139,Nova Esperança,Nogueira da Serra,CE,77919929
722,Setor de Moraes,7922,Nossa Senhora Da Aparecida,da Conceição de Jesus,CE,48506560
723,Núcleo de Cunha,8331,Novo Santa Cecilia,Machado de Rocha,PB,27440981
724,Travessa Maria Luiza Caldeira,6750,Conjunto Lagoa,Novaes Alegre,TO,18018430
725,Rodovia de Macedo,7158,Monte Azul,Carvalho,SC,52942-366
726,Rodovia de Ferreira,2603,Grajaú,Cassiano,AM,71823-410
727,Vereda Agatha Campos,3498,Novo Santa Cecilia,das Neves das Flores,RN,57748209
728,Praia Cirino,5416,Sion,Fonseca de Mendes,BA,69019573
729,Condomínio Jesus,2026,Embaúbas,Castro de Goiás,MA,37754-668
730,Núcleo de da Conceição,3184,Buritis,Mendes do Galho,GO,17289088
731,Lagoa Jesus,8178,Flamengo,da Cunha de Moura,PA,22319-859
732,Distrito Camila Borges,411,Petropolis,Aragão,RO,56759337
733,Esplanada Araújo,8448,Coqueiros,Leão,RR,05203728
734,Quadra Novaes,6824,Vila Boa Vista,da Mata de Cunha,MA,05477327
735,Passarela Vargas,809,Vila Jardim São José,Peixoto,AL,77114-033
736,Passarela de Ferreira,7356,Embaúbas,Farias Grande,TO,74910365
737,Loteamento Giovanna Cardoso,2182,Álvaro Camargos,Ribeiro de Mendonça,SE,62183268
738,Recanto de Cassiano,4200,Califórnia,da Rocha,GO,54340252
739,Rua Eduardo Ferreira,5568,Oeste,Gomes,GO,48191-280
740,Jardim Montenegro,1780,Alto Barroca,Novaes de Almeida,ES,22330423
741,Residencial de Albuquerque,6218,Conjunto São Francisco De Assis,Sampaio,BA,04611-333
742,Vale Barros,4794,São Marcos,Cunha,MA,46689658
743,Praia Daniela Duarte,2693,Universo,Sá da Prata,MA,99834-238
744,Estação de Machado,1345,Jardim Atlântico,Aparecida dos Dourados,SC,54743-563
745,Esplanada Stella da Rocha,1535,Jatobá,Peixoto,SE,29787-773
746,Parque de Novaes,4735,Vila Paraíso,Cassiano Alegre,RO,34597-982
747,Feira Rocha,6427,Mirante,Moreira Grande,PE,29641935
748,Viaduto de Macedo,5269,Novo Aarão Reis,Siqueira,RS,73820-704
749,Pátio de Vargas,1980,Santa Inês,Cassiano da Serra,CE,81469701
750,Estrada Maria Sophia Marques,6445,Gameleira,Andrade do Campo,SE,90341165
751,Lagoa de Caldeira,6713,Sport Club,Peixoto,SP,51364-285
752,Trevo Benjamin Nunes,6877,Nova Vista,Souza,DF,85814199
753,Conjunto de Araújo,6527,Floramar,Silveira,RO,06943-527
754,Viaduto de Aragão,7879,Vila Jardim São José,Teixeira Verde,PI,47162-496
755,Aeroporto Zoe Sá,7051,Nova Pampulha,da Mota da Prata,RO,94437717
756,Alameda Vitor Gabriel Campos,759,Maravilha,Barbosa,PR,47004-249
757,Estrada Julia Teixeira,5440,Aparecida,Costela de Goiás,TO,07014042
758,Residencial João Miguel Alves,1061,Nossa Senhora De Fátima,Pinto,RO,58570-069
759,Jardim Isabela Correia,2311,Havaí,Dias,ES,91072663
760,Morro Siqueira,8795,Alípio De Melo,Castro,RN,90642-642
761,Largo Rodrigues,762,Cdi Jatoba,Novais,RO,08116156
762,Praia de Gomes,235,Vila Da Paz,Cardoso,AM,96520843
763,Jardim de Teixeira,470,Nossa Senhora De Fátima,Vieira de Freitas,RN,92782822
764,Travessa Nicolas Ribeiro,2135,Alpes,da Cunha do Galho,MG,15740-437
765,Chácara Dias,6703,Vila Paraíso,da Luz de Goiás,BA,12256-339
766,Via Antony Alves,3456,Vila Sesc,Araújo,PE,41822572
767,Quadra Manuella Sampaio,8230,Barroca,Rocha do Campo,MA,79589-838
768,Sítio Nunes,4658,João Paulo Ii,Sampaio,SP,83695918
769,Rodovia de Ferreira,5389,Andiroba,Moreira,RO,06318-699
770,Residencial Costa,3408,Jardim Do Vale,Araújo,TO,76281-289
771,Quadra de Cirino,142,Ademar Maldonado,Pereira das Flores,DF,04317127
772,Trecho de Macedo,4051,Goiania,Novaes,RO,85300839
773,Trevo Maria Cecília da Mata,3788,São Francisco,Nunes,SE,79130293
774,Avenida Moraes,4425,Vila Aeroporto Jaraguá,Alves Paulista,RS,51723-611
775,Rodovia de Casa Grande,9900,Grajaú,Moraes de Melo,AC,68607881
776,Avenida Laura Teixeira,1488,Pantanal,Araújo de Alves,PE,77954912
777,Fazenda Otto da Costa,27,São Marcos,Câmara,AP,47805022
778,Sítio Davi Luiz das Neves,4117,Capitão Eduardo,Aragão das Pedras,AC,87859889
779,Distrito Caldeira,2535,Conjunto Novo Dom Bosco,Castro de da Paz,AC,55987-156
780,Conjunto Arthur Garcia,4201,Vila São Paulo,Araújo das Flores,ES,77855525
781,Conjunto de da Cunha,1376,Ernesto Nascimento,Ferreira de Goiás,RN,24160796
782,Rodovia Sampaio,513,São Damião,Rodrigues do Galho,PB,99566146
783,Loteamento João Felipe da Cruz,3156,São Vicente,da Cunha da Serra,RN,14413285
784,Lago Barros,790,Conjunto Jardim Filadélfia,Freitas,MA,07144040
785,Colônia de Monteiro,5223,Itaipu,Leão,CE,65302471
786,Passarela de Nunes,2379,Andiroba,Pastor das Pedras,PA,74788-575
787,Praia Luan Macedo,6045,Vila Jardim Leblon,Santos,TO,82471-896
788,Viela Isis da Conceição,6532,Estrela,Silveira da Mata,SP,05766705
789,Vereda de Ribeiro,6898,Madri,Leão das Flores,MG,80646-339
790,Vale Gael Vargas,9237,Goiania,Gomes dos Dourados,AL,57459-657
791,Praia de Câmara,5817,Conjunto Floramar,Barbosa do Campo,RS,46468821
792,Setor de Cassiano,5718,Canadá,Barros,RR,25794439
793,Via de Albuquerque,9337,Vila São Paulo,Vargas,MS,72850-967
794,Lagoa Nunes,5180,Vila Nova Cachoeirinha 1ª Seção,Sampaio da Serra,GO,81426-456
795,Travessa de Souza,2527,Barro Preto,da Cruz,SP,12906916
796,Praia Milena das Neves,2756,Cabana Do Pai Tomás,Martins da Prata,AC,15150-532
797,Vila Alícia Carvalho,1288,Boa União 2ª Seção,Cavalcante,RN,95405413
798,Estação Ana Clara Barros,435,Acaba Mundo,Moreira,AL,59178563
799,Condomínio de Aragão,6058,São Tomaz,Silveira do Amparo,RS,87916153
800,Lagoa de Alves,3345,Camargos,Garcia,PI,03181528
801,Núcleo Zoe Oliveira,6974,Vila Independencia 1ª Seção,Cardoso,PR,21244229
802,Praia de Rocha,5869,Floramar,Gomes de Aragão,DF,77966-668
803,Área Jesus,2516,Vila São João Batista,Guerra,SE,86102-114
804,Feira de Melo,4661,Vila Fumec,Castro de Goiás,SE,44740-182
805,Quadra de Cassiano,3617,Comiteco,Câmara de Teixeira,SP,78226-896
806,Estrada de Mendonça,2059,Maria Tereza,Fonseca dos Dourados,RN,21874144
807,Área de da Rocha,2570,Salgado Filho,Nascimento,MA,35911-792
808,Setor de Vieira,3591,Conjunto Taquaril,Ribeiro,PA,68172-522
809,Via de Montenegro,4371,Vitoria Da Conquista,Borges Alegre,CE,97238038
810,Residencial Ana Luiza Sampaio,954,Vila Nova Cachoeirinha 2ª Seção,Guerra,PA,91031212
811,Fazenda Emanuel Moreira,2059,Palmeiras,Nascimento das Pedras,DF,45995146
812,Distrito de Barros,2862,Buraco Quente,Campos de Minas,MS,17609933
813,Distrito Garcia,7540,Pongelupe,Borges dos Dourados,RS,39755-863
814,Largo de Borges,9206,Vila Ouro Minas,Sousa do Norte,RJ,04521278
815,Conjunto Otávio Ribeiro,6407,Ventosa,da Costa,SC,88815-834
816,Sítio Eloah Aragão,6406,Beira Linha,Alves de Pereira,MT,22507-684
817,Feira Bárbara Camargo,1465,Conjunto Bonsucesso,Aragão,PR,93262370
818,Largo Caldeira,761,Acaba Mundo,Alves das Flores,MS,04650986
819,Rua de da Mata,2471,Barroca,Pimenta das Pedras,PA,76563-641
820,Residencial Igor Campos,8246,Vila Pinho,Lopes do Amparo,RS,93339815
821,Lago Almeida,1930,Vila Jardim Alvorada,Leão,AM,22796-112
822,Largo de Viana,9467,Canaa,Fogaça do Amparo,CE,88274013
823,Núcleo Macedo,7960,Canadá,Peixoto,AP,64786-483
824,Viela de Novaes,2077,Castanheira,Ribeiro Paulista,TO,63862666
825,Área de Lima,4815,Nova Cintra,Garcia,CE,05428798
826,Recanto Heloisa Aragão,9014,Grajaú,Pinto,PA,48598-001
827,Área Agatha Câmara,6196,São Jorge 3ª Seção,Rios,TO,46728-255
828,Quadra Larissa Freitas,1667,Santa Rosa,Rezende de Moraes,PE,61749-929
829,Trecho de Andrade,3935,Vila São Gabriel Jacui,Mendonça,ES,06971441
830,Jardim Garcia,6025,Marieta 1ª Seção,Leão,PI,66930-244
831,Residencial João Gabriel Rios,6929,Vila Olhos D'água,Dias de Barros,MG,15312672
832,Chácara Rezende,6662,Vila Independencia 2ª Seção,Azevedo,AP,75103254
833,Via de Pacheco,5747,Ribeiro De Abreu,da Cruz,CE,87367923
834,Praça Ana Beatriz Novais,6844,São José,da Paz,TO,99826804
835,Passarela Gomes,2690,João Paulo Ii,Azevedo de Minas,SE,63642712
836,Vale Maysa Sá,21,Garças,Pereira do Campo,PI,02769998
837,Trecho Nascimento,5486,Parque São José,Casa Grande,CE,91181-927
838,Passarela Ana Clara Casa Grande,1873,Virgínia,Cirino Paulista,RR,96039-729
839,Avenida Gomes,9846,Aparecida,Machado,ES,23123-246
840,Rua Alana Leão,28,Maria Goretti,Carvalho,AM,69747469
841,Distrito Pimenta,7126,Vila Ipiranga,Campos do Amparo,RN,52469932
842,Residencial Cunha,8487,Universitário,Alves de Cassiano,RR,75403-681
843,Parque Calebe Fonseca,1115,Pindura Saia,Nunes,MS,21844991
844,Lagoa Costa,1517,São Gonçalo,Correia dos Dourados,RJ,46909-550
845,Sítio de Lopes,1282,Mariano De Abreu,Aragão do Sul,RJ,78883-948
846,Morro Maria Julia Santos,5057,Cidade Jardim Taquaril,Azevedo do Oeste,GO,69227-859
847,Ladeira Alves,9406,Campo Alegre,Viana de Moreira,AC,82731-098
848,Recanto Ferreira,4305,Vila Das Oliveiras,da Mota da Mata,RJ,76739-940
849,Feira de Monteiro,679,Maravilha,Freitas de Borges,SE,57885290
850,Parque de Cardoso,6976,Vila Oeste,Brito do Amparo,SC,58789563
851,Feira Moreira,5247,Barão Homem De Melo 1ª Seção,da Cruz Verde,SC,21818-862
852,Chácara Souza,9333,Serrano,Fogaça,PR,55598578
853,Jardim Gael Teixeira,6082,Garças,Porto,PI,50125024
854,Passarela Maria Luiza Pacheco,6406,Camponesa 2ª Seção,Nogueira da Prata,MG,51698-162
855,Esplanada Enrico Nunes,5729,Coração Eucarístico,Duarte das Flores,MG,37396-420
856,Colônia Maria Helena Costa,9376,Estrela,da Mata,AL,79937-299
857,Viela de Ramos,246,Vila Nova Cachoeirinha 3ª Seção,Aragão,AC,64926043
858,Lagoa Ana Fernandes,8704,Bernadete,Guerra Paulista,ES,18406-993
859,Vale de Garcia,2748,Marçola,Teixeira dos Dourados,SC,81565735
860,Ladeira de Vasconcelos,8063,Vila Sumaré,Vieira da Praia,SE,79147-299
861,Campo Isaac da Paz,9661,Novo Ouro Preto,Ramos de Fogaça,RN,18287-426
862,Lago de da Conceição,1246,Trevo,Brito,MA,57018210
863,Campo Melina Correia,1941,Flavio Marques Lisboa,Araújo do Amparo,GO,40004071
864,Largo de Abreu,3811,Solimoes,Teixeira Paulista,MS,39964068
865,Vale de Rodrigues,5714,Nova Suíça,Moraes de Martins,AP,78817204
866,Fazenda Marcos Vinicius Barros,2388,Trevo,Caldeira,PA,50207-745
867,Aeroporto Vasconcelos,9028,Santa Inês,Vargas,PB,56320659
868,Via de Barbosa,2201,São Jorge 1ª Seção,Cavalcanti de Montenegro,CE,51483-688
869,Pátio de da Cruz,2508,Alta Tensão 2ª Seção,Rodrigues,MA,53968-609
870,Vila Marques,5987,Céu Azul,Cunha de Goiás,RO,18863728
871,Campo Câmara,6468,Horto Florestal,Ferreira do Galho,AC,42120859
872,Esplanada de Novais,7812,Serra,Dias de Goiás,AM,71887-590
873,Esplanada de Aragão,868,Jardim Dos Comerciarios,Lopes da Serra,RN,09440-295
874,Praça Nunes,4838,Alto Dos Pinheiros,Sousa da Prata,BA,73047247
875,Trevo de Cirino,6736,Vila Copacabana,da Rocha,AC,73536-008
876,Vila da Rosa,5376,Vila Antena,Câmara,MS,42061808
877,Fazenda Caio Farias,6285,Vila Barragem Santa Lúcia,Melo,RO,78963-208
878,Favela de Rocha,90,Pompéia,Correia da Mata,MG,04930651
879,Vila João Vitor Correia,871,Túnel De Ibirité,Marques,SP,56827-764
880,Viela de Fernandes,2931,Vila São Gabriel Jacui,Araújo,CE,08321-977
881,Morro Rocha,8826,Guaratã,da Cunha do Amparo,SP,21275017
882,Sítio Lima,6963,Conjunto Lagoa,da Paz Verde,MG,59841-664
883,Praça Fernandes,8920,Cidade Nova,Cavalcanti da Prata,MG,04774891
884,Trevo de Silveira,3805,Jardim Felicidade,Garcia do Amparo,RJ,18816745
885,Viela Manuella Mendes,2617,Vila Trinta E Um De Março,Machado,DF,06132706
886,Vale de Carvalho,3012,Manacas,Rodrigues,RS,18409044
887,Pátio Sampaio,2740,Vila Nova Dos Milionarios,da Rocha,PB,32298-457
888,Residencial Agatha Pastor,8868,Nova Vista,Cardoso Grande,RJ,92008-240
889,Quadra Carvalho,4626,Santa Rita De Cássia,Machado dos Dourados,PR,71779-751
890,Residencial de Cassiano,5133,Santa Sofia,Brito,PR,63982837
891,Praça Aragão,7459,Conjunto Lagoa,Farias,DF,21093055
892,Avenida Oliver da Paz,9756,Floramar,Rodrigues do Norte,AM,49856-052
893,Quadra de Vasconcelos,412,Vila Suzana Segunda Seção,Almeida da Praia,AM,44038-249
894,Núcleo Silveira,6637,Vila Nova Dos Milionarios,Brito de Goiás,SC,35283181
895,Quadra de Almeida,6418,Serra Verde,Cunha,CE,93128-632
896,Parque de Cunha,9445,Santo André,Cavalcanti Verde,TO,96515-343
897,Setor Larissa Pastor,832,Ipiranga,Silva do Amparo,RR,02668114
898,Aeroporto Manuela Abreu,3993,Maravilha,da Cunha,DF,85621-058
899,Distrito Guilherme da Costa,2552,Dom Cabral,Teixeira dos Dourados,RO,78520-538
900,Loteamento Marques,7062,Vila Barragem Santa Lúcia,Cirino,CE,47754-411
901,Fazenda Sousa,5006,Marieta 3ª Seção,da Costa,RN,19354-450
902,Conjunto de Rocha,680,Vila São Gabriel Jacui,da Mota Verde,BA,30803151
903,Vila Cirino,713,Vila Piratininga Venda Nova,Cavalcante,PA,94160804
904,Setor de da Cruz,1506,Pindura Saia,Teixeira,MS,58109-238
905,Feira de Azevedo,3391,Andiroba,da Paz do Galho,MT,30668-856
906,Avenida Ana Lívia Vasconcelos,8895,Vila Novo São Lucas,Carvalho Grande,ES,15476-812
907,Vereda Rios,8737,Conjunto Jardim Filadélfia,Câmara,AM,19427-130
908,Parque Apollo Macedo,4111,Vista Alegre,Vargas da Praia,AM,94628124
909,Largo de Abreu,7529,Santa Branca,Borges,RR,89621-838
910,Área da Costa,6607,Jaraguá,da Luz,MS,19170-860
911,Recanto Cunha,4358,Monsenhor Messias,Machado das Flores,AL,86922264
912,Recanto Isabelly Ferreira,8052,Apolonia,Porto,MS,18736-991
913,Rua da Cunha,9877,Graça,Barbosa da Prata,MS,39849133
914,Trecho Olívia Cunha,1593,Palmeiras,Camargo Alegre,AM,90433806
915,Setor de Moura,9181,Palmares,Leão do Campo,RN,80924-155
916,Estrada de Almeida,7487,Prado,Porto do Sul,RJ,23970542
917,Vila da Conceição,2829,Califórnia,Nascimento,PR,90091-115
918,Trevo Ferreira,7206,Vila Madre Gertrudes 2ª Seção,Martins,SC,90646-370
919,Aeroporto Olivia Aparecida,5928,Gutierrez,Pereira de da Cunha,PR,01916-173
920,Feira Viana,4547,Campo Alegre,da Mata de Jesus,RR,94772893
921,Travessa de Barros,9996,Bernadete,Cavalcanti,PA,44510-342
922,Trecho Leão,5784,Vila Barragem Santa Lúcia,Rodrigues,AP,37438-076
923,Trecho da Costa,1813,Santa Helena,Souza,ES,01144203
924,Estrada Vitor da Paz,3738,Lagoinha,Dias,DF,19185303
925,Residencial Davi Luiz Monteiro,9932,Camargos,Pires,MG,48850-577
926,Viela da Mota,6933,Vila Madre Gertrudes 2ª Seção,Almeida dos Dourados,SE,09471-445
927,Loteamento de Barros,8891,Santo André,Araújo da Serra,PI,12584780
928,Ladeira de da Costa,7800,Ademar Maldonado,Fogaça,PI,99647-169
929,Fazenda de Pacheco,5043,Cachoeirinha,Monteiro,SE,70484-850
930,Avenida Davi Lucas Pires,6611,Vila Atila De Paiva,Vasconcelos,MA,96294582
931,Largo de Aragão,5007,Oeste,Aragão do Campo,RN,91959402
932,Estação Luiz Henrique Moura,9973,Indaiá,Nascimento da Praia,PR,16650-410
933,Condomínio de Cirino,3080,Morro Dos Macacos,Martins de da Conceição,RO,96389-553
934,Rodovia Raquel Fernandes,1009,Bela Vitoria,Vargas da Praia,RS,44385-588
935,Trevo Isabelly Fogaça,6343,Vila Suzana Primeira Seção,Cunha,AL,86875-906
936,Travessa de Rodrigues,4222,Nossa Senhora Da Aparecida,Rocha,MT,93791-753
937,Lago de Araújo,7336,Baleia,Porto Alegre,RN,84226-872
938,Viela de Ramos,8468,Vila Nova Gameleira 1ª Seção,Câmara Verde,BA,39587319
939,Morro de Aparecida,1104,Cenaculo,Aragão do Galho,MS,53831-618
940,Quadra de Farias,5682,Universo,Fonseca do Amparo,PE,95283-045
941,Conjunto de Marques,7260,Santa Sofia,Dias da Serra,BA,23000346
942,Praça Ana Lívia Duarte,1420,Vila Do Pombal,da Luz de Vasconcelos,SE,32443123
943,Favela Ferreira,6079,Vila Jardim Montanhes,Cassiano,RO,46932985
944,Travessa Maria Luísa Lima,3824,Santo Antônio,Oliveira,CE,84993-803
945,Distrito Hadassa Mendonça,1855,Renascença,Peixoto,AL,25348-417
946,Distrito de Sampaio,9680,Cidade Nova,Rios da Praia,SE,56960441
947,Largo de Brito,1722,Independência,Casa Grande,AC,95721-538
948,Pátio de Macedo,6165,Nossa Senhora Aparecida,Ferreira,RR,43156791
949,Recanto de Rios,3467,Teixeira Dias,Peixoto,SE,63974-262
950,Trecho Stephany Silva,5548,Glória,Viana Paulista,BA,15114-611
951,Trevo de Viana,26,Vila Satélite,Sales de das Neves,AM,35878-666
952,Parque Vargas,6307,Jardim Alvorada,da Mota,MS,36068-677
953,Lago Cauê Vasconcelos,323,Vila Cloris,da Rocha,RO,90603842
954,Parque Anna Liz Barros,1080,Garças,Brito,MT,22870-075
955,Via de Sousa,6552,Lajedo,Siqueira de Carvalho,PA,23294-376
956,Largo de Albuquerque,5121,Mariquinhas,Fernandes do Campo,SP,60884832
957,Trevo de Castro,5912,São Cristóvão,Nogueira,RS,65058808
958,Esplanada Melina Martins,1989,Cachoeirinha,da Cunha,RS,66872-348
959,Conjunto Luiz Gustavo Câmara,7118,Conjunto Serra Verde,Pacheco,SP,82660466
960,Jardim de Nascimento,8810,Saudade,Ramos,AC,52394853
961,Via Clara Cirino,9424,Jonas Veiga,Novaes do Oeste,RN,78174-732
962,Via Antonella Gonçalves,8602,Luxemburgo,Vargas,TO,48456-309
963,Feira Mateus Cassiano,7326,Cidade Jardim Taquaril,da Rocha da Mata,SP,31395385
964,Jardim Nogueira,5622,Dom Silverio,Correia,PB,53990-789
965,Distrito Dom da Luz,9440,Conjunto Floramar,Barros do Amparo,PA,10207-273
966,Vereda de Dias,5207,Nossa Senhora Aparecida,Azevedo,RO,75825-613
967,Recanto Valentina Fonseca,4633,São Marcos,Siqueira de Porto,ES,98398-507
968,Chácara João Gabriel Costela,6748,Vila Real 2ª Seção,Fogaça das Pedras,SC,00098680
969,Avenida Leandro da Rosa,1708,Camargos,Machado da Prata,SE,05435208
970,Conjunto Mariane Azevedo,776,Prado,Pacheco,SP,55155001
971,Aeroporto de Sales,1516,Bonsucesso,Rezende Paulista,MS,53553-072
972,Travessa Lavínia Ribeiro,904,Vila Esplanada,Peixoto Paulista,AP,87103808
973,Ladeira Zoe da Cruz,3298,Carlos Prates,Melo do Amparo,PB,63380-528
974,Rua Leão,3349,Granja Werneck,Fernandes da Mata,RR,85715931
975,Distrito Maria Fernanda da Cruz,6693,Santa Lúcia,Peixoto de Goiás,SE,37402003
976,Distrito Freitas,4006,Marieta 2ª Seção,Castro,SP,18384343
977,Setor Aragão,6308,Santa Inês,Pinto das Pedras,AM,76628-577
978,Alameda de Nunes,8018,Santa Efigênia,da Luz,BA,08162812
979,Rua de Gomes,8534,Parque São José,Oliveira,RJ,31923365
980,Parque de Monteiro,6998,Esperança,da Rosa da Mata,RJ,74823-002
981,Jardim Leandro Duarte,6489,Penha,Cavalcanti de Aragão,PB,19417-121
982,Condomínio de Cavalcante,8676,São Benedito,Vieira de da Rocha,GO,63834188
983,Praça de Melo,3837,Virgínia,Rios,MT,93503988
984,Ladeira de Sales,1764,Vila Petropolis,Borges,BA,41477-912
985,Residencial Maria Fernanda Lopes,720,Europa,Borges das Flores,CE,70061805
986,Aeroporto Campos,8839,Candelaria,Lopes,AP,96311396
987,Setor de Barros,5851,São João,Castro,RR,19377-685
988,Parque Daniela Borges,7447,Grota,Jesus,RS,42717355
989,Quadra Cassiano,7764,Santa Tereza,Albuquerque do Norte,AC,25723-201
990,Área de Pastor,3338,Braúnas,Rezende,PB,23512-045
991,Lagoa Davi Luiz da Costa,829,Mirante,Gonçalves de Vieira,PE,56834-749
992,Alameda de Porto,1912,São Tomaz,Camargo,RJ,96573-164
993,Passarela Novaes,8176,São Pedro,Souza,PI,65554698
994,Colônia Correia,3232,Funcionários,Peixoto,SP,46028-261
995,Trevo de Silveira,8125,Ribeiro De Abreu,Leão de Moreira,PR,79549-855
996,Vila Melo,480,Vila São Geraldo,Moura do Oeste,RR,01200458
997,Estação Agatha Ribeiro,7315,Olhos D'água,Albuquerque,MT,13765832
998,Núcleo Esther Guerra,7880,Conjunto Jatoba,Vieira da Prata,SE,20051-977
999,Lago de Fonseca,1324,Esperança,Sales de Cirino,PI,66895250
1000,Área Lucca Moura,2306,Europa,Vasconcelos do Oeste,ES,45978684
